step,bin_idx,weight,mean_reward,n_samples,n_falls,mean_ep_len,mean_vx_at_term,r_en
1152,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,0,0.666667,0.901386,110,12,958.791,0.103844,0.362998
1200,1,0.333333,0.638470,31,29,507.419,0.417035,0.421768
1200,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1200,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,0,0.666667,0.908603,121,2,996.959,0.096915,0.360393
1248,1,0.333333,0.638201,30,24,544.433,0.261893,0.422236
1248,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1248,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,0,0.666667,0.909614,130,2,992.031,0.095089,0.369270
1296,1,0.333333,0.641546,39,31,602.205,0.161643,0.433004
1296,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1296,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,0,0.666667,0.911731,174,1,998.672,0.095221,0.369632
1344,1,0.333333,0.642851,31,26,587.323,0.162547,0.431117
1344,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1344,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,0,0.666667,0.913885,289,5,995.159,0.101270,0.372119
1392,1,0.333333,0.638350,50,27,746.940,0.200006,0.419567
1392,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1392,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,0,0.666667,0.914656,422,7,995.225,0.106781,0.375582
1440,1,0.333333,0.642747,76,42,705.132,0.183746,0.429162
1440,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1440,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,0,0.666667,0.914778,417,0,1000.000,0.100315,0.384333
1488,1,0.333333,0.639164,93,29,843.301,0.155968,0.418895
1488,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1488,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,0,0.666667,0.916996,349,1,999.593,0.112591,0.388663
1536,1,0.333333,0.652063,85,22,840.424,0.182443,0.434458
1536,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1536,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,0,0.666667,0.920357,187,1,999.840,0.114639,0.390569
1584,1,0.333333,0.664695,56,32,635.214,0.223438,0.461148
1584,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1584,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,0,0.666667,0.917956,121,4,973.347,0.123814,0.402423
1632,1,0.333333,0.665095,43,20,675.721,0.251477,0.456156
1632,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1632,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,0,0.666667,0.918942,100,0,1000.000,0.102879,0.407794
1680,1,0.333333,0.662017,51,30,667.471,0.261353,0.463729
1680,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1680,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,0,0.666667,0.920978,66,5,951.349,0.154119,0.413920
1728,1,0.333333,0.678700,33,19,605.970,0.172708,0.478335
1728,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1728,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,0,0.666667,0.921506,88,2,994.136,0.136244,0.414233
1776,1,0.333333,0.675020,44,24,694.523,0.229038,0.485786
1776,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,3,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,4,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,5,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,6,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1776,7,0.000000,0.000000,0,0,0.000,0.000000,0.000000
1824,0,0.666667,0.925321,119,2,996.076,0.109874,0.417385
1824,1,0.333333,0.687984,50,35,639.200,0.271529,0.504156
1824,2,0.000000,0.000000,0,0,0.000,0.000000,0.000000
