condition,seed,bin_idx,rollout,fall_step,tracking_error,epte_sp,v_x_mean,v_x_signed_mean,vfc,action_rate,term_reason,duty_factor,stride_freq_hz,stride_length_m
uniform,0,0,64,999,0.7398244738578796,0.740084707736969,0.08341335505247116,0.06879872828722,0.27519491314888,0.17124363780021667,time_out,0.8025000095367432,2.262500047683716,0.030408276244997978
uniform,0,0,65,999,0.8487628102302551,0.8489140868186951,0.06816086918115616,0.03845181316137314,0.15380725264549255,0.16945883631706238,time_out,0.8140000104904175,1.7000000476837158,0.022618712857365608
uniform,0,0,66,999,0.8081003427505493,0.8082922697067261,0.07535093277692795,0.04862302169203758,0.19449208676815033,0.17096635699272156,time_out,0.843000054359436,1.7999999523162842,0.027012789621949196
uniform,0,0,67,999,0.7335285544395447,0.7337951064109802,0.08844690024852753,0.06786061078310013,0.2714424431324005,0.17709453403949738,time_out,0.7642500400543213,2.5,0.02714424394071102
uniform,0,0,68,862,0.7762715220451355,0.8071460723876953,0.07951405644416809,0.05825430527329445,0.2330172210931778,0.1790946125984192,bad_orientation,0.7922943234443665,1.7815759181976318,0.03269818797707558
uniform,0,0,69,999,0.7299051284790039,0.730175256729126,0.09227968752384186,0.0682070255279541,0.2728281021118164,0.1773364096879959,time_out,0.7505000233650208,2.3499999046325684,0.029024267569184303
uniform,0,0,70,999,0.7793261408805847,0.779546856880188,0.0853821188211441,0.060040585696697235,0.24016234278678894,0.1733756959438324,time_out,0.7899999618530273,2.299999952316284,0.026104602962732315
uniform,0,0,71,999,0.8493881821632385,0.8495388627052307,0.06704087555408478,0.040023669600486755,0.16009467840194702,0.17711606621742249,time_out,0.7942500114440918,1.462499976158142,0.02736661210656166
uniform,0,0,72,999,0.7244207859039307,0.7246963977813721,0.09617189317941666,0.06932376325130463,0.2772950530052185,0.17512273788452148,time_out,0.7317500114440918,2.5875000953674316,0.02679179236292839
uniform,0,0,73,999,0.7454327940940857,0.7456874251365662,0.09120882302522659,0.06581032276153564,0.2632412910461426,0.1713026612997055,time_out,0.7664999961853027,2.237499952316284,0.029412435367703438
uniform,0,0,74,999,0.7611880898475647,0.7614269256591797,0.08203763514757156,0.060364142060279846,0.24145656824111938,0.17434504628181458,time_out,0.777999997138977,2.375,0.025416480377316475
uniform,0,0,75,999,0.7844147682189941,0.7846304178237915,0.0892961248755455,0.05584876239299774,0.22339504957199097,0.1739901602268219,time_out,0.7592499852180481,2.112499952316284,0.02643728442490101
uniform,0,0,76,999,0.7374957799911499,0.7377583384513855,0.09831517189741135,0.06716766208410263,0.2686706483364105,0.17784471809864044,time_out,0.7515000104904175,2.3000001907348633,0.029203329235315323
uniform,0,0,77,999,0.787696897983551,0.787909209728241,0.08863407373428345,0.05571749806404114,0.22286999225616455,0.17267350852489471,time_out,0.7597500085830688,2.3500001430511475,0.023709572851657867
uniform,0,0,78,999,0.8120954036712646,0.8122833371162415,0.06903818994760513,0.04722636565566063,0.18890546262264252,0.17453235387802124,time_out,0.8182500004768372,1.8875000476837158,0.02502059005200863
uniform,0,0,79,999,0.7954612374305725,0.7956658005714417,0.0767681822180748,0.0515119694173336,0.2060478776693344,0.17185302078723907,time_out,0.7942500114440918,2.450000047683716,0.021025292575359344
uniform,0,0,80,999,0.7669184803962708,0.7671515941619873,0.08918676525354385,0.05893174931406975,0.235726997256279,0.17285741865634918,time_out,0.7687499523162842,2.200000047683716,0.026787158101797104
uniform,0,0,81,999,0.7466610074043274,0.7469143867492676,0.08812078088521957,0.06394381821155548,0.2557752728462219,0.1773291528224945,time_out,0.7927500009536743,2.2124998569488525,0.02890116348862648
uniform,0,0,82,999,0.7623514533042908,0.762589156627655,0.08985236287117004,0.06420143693685532,0.25680574774742126,0.17215918004512787,time_out,0.7917499542236328,2.1499998569488525,0.02986113540828228
uniform,0,0,83,999,0.80184406042099,0.8020422458648682,0.07647701352834702,0.049789268523454666,0.19915707409381866,0.1762654036283493,time_out,0.8179999589920044,1.6375000476837158,0.03040565922856331
uniform,0,0,84,999,0.8163479566574097,0.8165316581726074,0.07875137776136398,0.046404384076595306,0.18561753630638123,0.1701667606830597,time_out,0.840999960899353,1.649999976158142,0.028123868629336357
uniform,0,0,85,999,0.685332179069519,0.6856468915939331,0.09652303904294968,0.0807492807507515,0.322997123003006,0.18000930547714233,time_out,0.7390000224113464,2.5,0.0322997123003006
uniform,0,0,86,999,0.7603274583816528,0.7605671882629395,0.07865854352712631,0.060516491532325745,0.24206596612930298,0.1715078502893448,time_out,0.8032500147819519,2.1625001430511475,0.027984503656625748
uniform,0,0,87,999,0.7095751166343689,0.7098655700683594,0.0905933827161789,0.07310296595096588,0.2924118638038635,0.1787009984254837,time_out,0.7277499437332153,2.75,0.02658289670944214
uniform,0,0,88,999,0.7897123098373413,0.7899226546287537,0.09655445069074631,0.05313536524772644,0.21254146099090576,0.168311208486557,time_out,0.7645000219345093,1.8625000715255737,0.028529053553938866
uniform,0,0,89,999,0.7295244336128235,0.729794979095459,0.09187646955251694,0.07459128648042679,0.29836514592170715,0.17019833624362946,time_out,0.7782500386238098,2.375,0.03140685707330704
uniform,0,0,90,999,0.7618029117584229,0.7620411515235901,0.08366517722606659,0.05981292203068733,0.23925168812274933,0.17136073112487793,time_out,0.7587500214576721,2.375,0.0251843873411417
uniform,0,0,91,999,0.8532432913780212,0.853390097618103,0.07468810677528381,0.03728596493601799,0.14914385974407196,0.17189174890518188,time_out,0.8379999995231628,1.5624998807907104,0.023863019421696663
uniform,0,0,92,999,0.7591026425361633,0.7593436241149902,0.09475178271532059,0.06330660730600357,0.2532264292240143,0.17848622798919678,time_out,0.7885000109672546,2.137500047683716,0.029617125168442726
uniform,0,0,93,999,0.819771409034729,0.8199517130851746,0.08451547473669052,0.04531245678663254,0.18124982714653015,0.1725984364748001,time_out,0.8065000176429749,1.8624999523162842,0.024328837171196938
uniform,0,0,94,999,0.8345262408256531,0.8346917629241943,0.08265604823827744,0.04944176971912384,0.19776707887649536,0.1815032958984375,time_out,0.8085000514984131,1.9874999523162842,0.024876363575458527
uniform,0,0,95,999,0.7815297842025757,0.7817482948303223,0.0930425226688385,0.06043422594666481,0.24173690378665924,0.17725692689418793,time_out,0.7699999809265137,2.237499952316284,0.027009710669517517
uniform,0,0,96,999,0.8121104836463928,0.8122984170913696,0.07558140903711319,0.04722262918949127,0.1888905167579651,0.172628715634346,time_out,0.8347499966621399,1.6749999523162842,0.028192615136504173
uniform,0,0,97,999,0.7833607196807861,0.7835773825645447,0.09058783203363419,0.05451316013932228,0.21805264055728912,0.1724858582019806,time_out,0.7892500162124634,2.2249999046325684,0.024500297382473946
uniform,0,0,98,999,0.7501600384712219,0.7504099011421204,0.08306185901165009,0.06293129175901413,0.2517251670360565,0.17300613224506378,time_out,0.7605000138282776,2.450000047683716,0.025686241686344147
uniform,0,0,99,999,0.8489051461219788,0.8490562438964844,0.07298962771892548,0.03806459158658981,0.15225836634635925,0.17320750653743744,time_out,0.7904999852180481,1.7624999284744263,0.021596932783722878
